age,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
29,No,rarely,research_&_development,21,4,life_sciences,20,2,Female,51,4,3,manufacturing_director,1.0,divorced,9980.0,1,No,11,3,3,1,10,3.0,3,10,9,8,8.0
32,No,rarely,research_&_development,5,2,life_sciences,21,1,Male,80,4,1,research_scientist,2.0,divorced,3298.0,0,Yes,12,3,4,2,7,5.0,2,6,2,0,5.0
22,No,non_travel,research_&_development,16,2,medical,22,4,Male,96,4,1,laboratory_technician,4.0,divorced,2935.0,1,Yes,13,3,2,2,1,2.0,2,1,0,0,0.0
53,No,rarely,sales,2,4,life_sciences,23,1,Female,78,2,4,manager,4.0,married,15427.0,2,No,16,3,3,0,31,3.0,3,25,8,3,7.0
38,No,rarely,research_&_development,2,3,life_sciences,24,4,Male,45,3,1,research_scientist,4.0,single,3944.0,5,Yes,11,3,3,0,6,3.0,3,3,2,1,2.0
24,No,non_travel,research_&_development,11,2,other,26,1,Female,96,4,2,manufacturing_director,3.0,divorced,4011.0,0,No,18,3,4,1,5,5.0,2,4,2,1,3.0
36,Yes,rarely,sales,9,4,life_sciences,27,3,Male,82,2,1,sales_representative,1.0,single,3407.0,7,No,23,4,2,0,10,3.0,3,5,3,0,3.0
34,No,rarely,research_&_development,7,4,life_sciences,28,1,Female,53,3,3,research_director,2.0,single,11994.0,0,No,11,3,3,0,13,4.0,3,12,6,2,11.0
21,No,rarely,research_&_development,15,2,life_sciences,30,3,Male,96,3,1,research_scientist,4.0,single,1232.0,1,No,14,3,4,0,0,6.0,3,0,0,0,0.0
34,Yes,rarely,research_&_development,6,1,medical,31,2,Male,83,3,1,research_scientist,1.0,single,2960.0,2,No,11,3,3,0,8,2.0,3,4,2,1,3.0
53,No,rarely,research_&_development,5,3,other,32,3,Female,58,3,5,manager,3.0,divorced,19094.0,4,No,11,3,4,1,26,3.0,2,14,13,4,8.0
32,Yes,frequently,research_&_development,16,1,life_sciences,33,2,Female,72,1,1,research_scientist,1.0,single,3919.0,1,Yes,22,4,2,0,10,5.0,3,10,2,6,7.0
42,No,rarely,sales,8,4,marketing,35,3,Male,48,3,2,sales_executive,2.0,married,6825.0,0,No,11,3,4,1,10,2.0,3,9,7,4,2.0
44,No,rarely,research_&_development,7,4,medical,36,1,Female,42,2,3,healthcare_representative,4.0,married,10248.0,3,No,14,3,4,1,24,4.0,3,22,6,5,17.0
46,No,rarely,sales,2,4,marketing,38,2,Female,83,3,5,manager,1.0,single,18947.0,3,No,12,3,4,0,22,2.0,2,2,2,2,4.068783068783069
33,No,rarely,research_&_development,2,3,medical,39,3,Male,78,3,1,laboratory_technician,4.0,single,2496.0,4,No,11,3,4,0,7,3.0,3,1,1,0,0.0
44,No,rarely,research_&_development,10,4,other,40,4,Male,41,3,2,healthcare_representative,4.0,married,6465.0,2,Yes,13,3,4,0,9,5.0,4,4,2,1,3.0
30,No,rarely,research_&_development,9,2,medical,41,4,Male,83,2,1,laboratory_technician,3.0,single,2206.0,1,No,13,3,1,0,10,5.0,3,10,0,1,8.0
39,Yes,rarely,sales,5,3,technical_degree,42,4,Male,56,3,2,sales_representative,4.0,married,2086.0,3,No,14,3,3,1,19,6.0,4,1,0,0,4.068783068783069
24,Yes,rarely,research_&_development,1,3,medical,45,2,Male,61,3,1,research_scientist,4.0,married,2293.0,2,Yes,16,3,1,1,6,2.0,2,2,0,2,0.0
43,No,rarely,research_&_development,2,2,other,46,4,Female,72,4,1,research_scientist,3.0,divorced,2645.0,1,No,12,3,4,2,6,3.0,2,5,3,1,4.0
50,Yes,rarely,sales,3,2,marketing,47,1,Male,86,2,1,sales_representative,3.0,married,2683.0,1,Yes,14,3,3,0,3,2.0,3,3,2,0,2.0
35,No,rarely,sales,2,3,marketing,49,4,Female,97,3,1,sales_representative,4.0,married,2014.0,1,No,13,3,1,0,2,3.0,3,2,2,2,2.0
36,No,rarely,research_&_development,5,4,life_sciences,51,2,Female,82,2,1,research_scientist,1.0,married,3419.0,9,Yes,14,3,4,1,6,3.0,4,1,1,0,0.0
33,No,frequently,sales,1,3,life_sciences,52,3,Female,42,4,2,sales_executive,1.0,married,5376.0,2,No,19,3,1,2,10,3.0,3,5,3,1,3.0
35,No,rarely,research_&_development,4,2,other,53,3,Male,75,3,1,laboratory_technician,4.0,divorced,1951.0,1,No,12,3,3,1,1,3.0,3,1,0,0,0.0
27,No,rarely,research_&_development,2,4,life_sciences,54,4,Female,33,3,1,laboratory_technician,1.0,divorced,2341.0,1,No,13,3,4,1,1,6.0,3,1,0,0,0.0
26,Yes,rarely,research_&_development,25,3,life_sciences,55,1,Male,48,1,1,laboratory_technician,3.0,single,2293.0,1,No,12,3,3,0,1,2.0,2,1,0,0,1.0
27,No,frequently,sales,8,3,life_sciences,56,4,Male,37,3,3,sales_executive,3.0,single,8726.0,1,No,15,3,4,0,9,0.0,3,9,8,1,4.068783068783069
30,No,frequently,research_&_development,1,2,medical,57,3,Female,58,3,2,laboratory_technician,4.0,single,4011.0,1,No,23,4,4,0,12,2.0,3,12,8,3,7.0
41,Yes,rarely,research_&_development,12,3,technical_degree,58,2,Female,49,3,5,research_director,3.0,married,19545.0,1,No,12,3,4,0,23,0.0,3,22,15,15,8.0
34,No,non_travel,research_&_development,23,4,marketing,60,2,Male,72,3,2,sales_executive,3.0,single,4568.0,0,No,20,4,3,0,10,2.0,3,9,5,8,7.0
37,No,rarely,research_&_development,19,2,life_sciences,61,2,Male,73,3,1,research_scientist,2.0,married,3022.0,4,No,21,4,1,0,8,1.0,3,1,0,0,0.0
46,No,frequently,sales,5,4,marketing,62,1,Male,98,3,2,sales_executive,4.0,Desconocido,5772.0,4,Yes,21,4,3,0,14,4.0,3,9,6,0,8.0
35,No,rarely,research_&_development,8,1,life_sciences,63,4,Male,36,4,1,laboratory_technician,4.0,married,2269.0,1,No,19,3,4,0,1,2.0,3,1,0,0,1.0
48,Yes,rarely,research_&_development,1,2,life_sciences,64,1,Male,98,2,3,laboratory_technician,3.0,single,5381.0,9,Yes,13,3,4,0,23,2.0,3,1,0,0,0.0
28,Yes,rarely,research_&_development,5,4,technical_degree,65,3,Male,50,3,1,laboratory_technician,3.0,single,3441.0,1,Yes,13,3,3,0,2,3.0,2,2,2,2,2.0
44,No,rarely,sales,1,5,marketing,68,2,Female,75,3,2,sales_executive,1.0,divorced,5454.0,5,Yes,21,4,3,1,9,2.0,2,4,3,1,4.068783068783069
35,No,non_travel,research_&_development,11,2,medical,70,3,Male,79,2,3,healthcare_representative,1.0,married,9884.0,2,Yes,13,3,3,1,10,3.0,3,4,0,2,3.0
26,No,rarely,sales,23,3,marketing,72,3,Female,47,2,2,sales_executive,4.0,married,4157.0,7,Yes,19,3,3,1,5,2.0,2,2,2,0,0.0
33,No,frequently,research_&_development,1,2,life_sciences,73,1,Female,98,3,3,research_director,4.0,single,13458.0,1,Yes,12,3,3,0,15,1.0,3,15,14,8,12.0
35,No,frequently,sales,18,5,life_sciences,74,2,Male,71,3,3,sales_executive,1.0,married,9069.0,1,No,22,4,4,1,9,3.0,2,9,8,1,8.0
35,No,rarely,research_&_development,23,4,medical,75,3,Female,30,3,1,laboratory_technician,1.0,married,4014.0,3,Yes,15,3,3,1,4,3.0,3,2,2,2,4.068783068783069
31,No,rarely,research_&_development,7,4,life_sciences,76,4,Male,48,3,2,laboratory_technician,4.0,divorced,5915.0,3,No,22,4,4,1,10,3.0,2,7,7,1,7.0
37,No,rarely,research_&_development,1,4,life_sciences,77,1,Male,51,2,2,manufacturing_director,3.0,divorced,5993.0,1,No,18,3,3,1,7,3.0,4,7,5,0,7.0
32,No,rarely,research_&_development,1,3,medical,78,1,Male,33,3,2,manufacturing_director,4.0,married,6162.0,1,No,22,4,2,1,9,3.0,3,9,8,7,8.0
38,No,frequently,research_&_development,29,5,life_sciences,79,4,Female,50,3,2,laboratory_technician,4.0,single,2406.0,1,No,11,3,4,0,10,2.0,3,10,3,9,9.0
50,No,rarely,research_&_development,7,2,medical,80,2,Female,43,2,5,research_director,3.0,divorced,18740.0,5,Yes,12,3,4,1,29,2.0,2,27,3,13,8.0
36,No,rarely,sales,25,3,life_sciences,81,1,Female,99,3,3,sales_executive,3.0,single,7637.0,7,No,11,3,4,0,28,3.0,2,21,16,7,9.0
36,No,rarely,research_&_development,8,3,technical_degree,83,3,Female,59,3,3,healthcare_representative,3.0,divorced,10096.0,1,No,13,3,2,3,17,2.0,3,17,14,12,8.0
55,No,rarely,research_&_development,8,3,medical,84,4,Female,33,3,4,manager,3.0,divorced,14756.0,2,Yes,14,3,3,3,21,2.0,3,5,0,0,2.0
36,No,frequently,research_&_development,11,3,life_sciences,85,2,Male,95,2,2,manufacturing_director,2.0,single,6499.0,1,No,13,3,3,0,6,3.0,3,6,5,0,3.0
45,No,rarely,research_&_development,7,3,life_sciences,86,2,Male,59,3,3,research_scientist,1.0,divorced,9724.0,2,No,17,3,3,1,25,2.0,3,1,0,0,0.0
35,No,frequently,research_&_development,1,3,medical,88,2,Male,79,3,1,research_scientist,1.0,married,2194.0,4,No,13,3,4,1,5,2.0,2,3,2,1,2.0
36,Yes,rarely,research_&_development,9,3,medical,90,4,Male,79,2,1,research_scientist,3.0,married,3388.0,0,Yes,17,3,1,1,2,0.0,2,1,0,0,4.068783068783069
59,No,frequently,sales,1,1,life_sciences,91,1,Female,57,2,2,sales_executive,3.0,single,5473.0,7,No,11,3,4,0,20,2.0,2,4,3,1,4.068783068783069
29,No,rarely,research_&_development,2,3,life_sciences,94,3,Male,76,3,1,research_scientist,2.0,Desconocido,2703.0,0,No,23,4,4,1,6,3.0,3,5,4,0,4.0
31,No,rarely,research_&_development,1,4,medical,95,3,Male,87,3,1,research_scientist,3.0,single,2501.0,1,No,17,3,2,0,1,4.0,3,1,1,1,0.0
32,No,rarely,research_&_development,1,3,life_sciences,96,2,Male,66,3,2,research_scientist,2.0,married,6220.0,1,No,17,3,2,2,10,3.0,3,10,4,0,9.0
36,No,rarely,research_&_development,6,3,life_sciences,97,2,Female,55,4,1,laboratory_technician,4.0,married,3038.0,3,No,12,3,2,0,5,3.0,3,1,0,0,0.0
31,No,rarely,research_&_development,8,4,life_sciences,98,3,Female,61,3,2,manufacturing_director,4.0,single,4424.0,1,No,23,4,4,0,11,2.0,3,11,7,1,8.0
35,No,rarely,sales,1,4,marketing,100,3,Male,32,2,2,sales_executive,1.0,single,4312.0,0,No,14,3,2,0,16,2.0,3,15,13,2,8.0
45,No,rarely,research_&_development,6,4,other,101,4,Male,52,3,3,research_director,1.0,married,13245.0,4,No,14,3,2,0,17,3.0,4,0,0,0,0.0
37,No,rarely,research_&_development,7,4,medical,102,1,Male,30,3,3,research_director,3.0,single,13664.0,4,No,13,3,1,0,16,3.0,4,5,2,0,4.068783068783069
46,No,rarely,human_resources,5,2,medical,103,2,Male,80,3,2,human_resources,2.0,divorced,5021.0,8,Yes,22,4,4,1,16,3.0,3,4,2,0,2.0
30,No,rarely,research_&_development,1,1,life_sciences,104,4,Male,55,2,2,laboratory_technician,4.0,married,5126.0,1,Yes,12,3,3,2,10,1.0,2,10,8,3,0.0
35,No,rarely,research_&_development,1,3,medical,105,2,Male,30,2,1,research_scientist,3.0,single,2859.0,1,No,18,3,1,0,6,3.0,3,6,4,0,4.0
55,No,rarely,sales,1,2,life_sciences,106,1,Male,70,3,3,sales_executive,4.0,Desconocido,10239.0,3,No,14,3,4,1,24,4.0,3,1,0,1,0.0
38,No,non_travel,research_&_development,6,3,medical,107,2,Female,79,1,2,research_scientist,4.0,divorced,5329.0,7,Yes,12,3,4,3,17,3.0,3,13,11,1,9.0
34,No,rarely,research_&_development,1,2,medical,110,1,Male,94,3,2,manufacturing_director,2.0,married,4325.0,1,No,15,3,3,0,5,2.0,3,5,2,1,3.0
56,No,rarely,research_&_development,7,3,life_sciences,112,4,Male,49,1,3,manufacturing_director,4.0,single,7260.0,4,No,11,3,1,0,37,3.0,2,6,4,0,2.0
23,No,rarely,sales,2,1,technical_degree,113,3,Male,62,3,1,sales_representative,1.0,divorced,2322.0,3,No,13,3,3,1,3,3.0,3,0,0,0,0.0
51,No,rarely,research_&_development,9,4,life_sciences,116,4,Male,96,3,1,laboratory_technician,4.0,married,2075.0,3,No,23,4,2,2,10,4.0,3,4,2,0,3.0
30,No,rarely,research_&_development,2,3,life_sciences,117,3,Male,99,2,2,healthcare_representative,4.0,married,4152.0,1,No,19,3,1,3,11,3.0,3,11,10,10,8.0
46,Yes,rarely,sales,9,2,medical,118,3,Male,64,2,3,sales_executive,4.0,single,9619.0,1,No,16,3,4,0,9,3.0,3,9,8,4,7.0
40,No,frequently,research_&_development,1,4,life_sciences,119,3,Male,78,2,4,healthcare_representative,2.0,married,13503.0,1,No,22,4,4,1,22,3.0,2,22,3,11,11.0
36,No,rarely,sales,21,4,marketing,120,3,Male,71,3,2,sales_executive,4.0,single,5441.0,0,Yes,22,4,4,0,11,2.0,1,10,7,1,0.0
30,No,rarely,sales,4,2,medical,121,3,Female,63,2,2,sales_executive,2.0,divorced,5209.0,1,Yes,12,3,2,3,11,4.0,2,11,8,2,7.0
46,No,frequently,research_&_development,1,3,medical,124,3,Male,40,2,3,healthcare_representative,1.0,married,10673.0,2,Yes,13,3,3,1,21,5.0,2,10,9,9,5.0
32,No,rarely,sales,6,4,medical,125,2,Male,87,3,2,sales_executive,3.0,single,5010.0,1,No,16,3,1,0,12,0.0,3,11,8,5,7.0
54,No,rarely,research_&_development,2,4,technical_degree,126,1,Female,60,3,3,research_director,3.0,married,13549.0,9,No,12,3,1,1,16,3.0,1,4,3,0,3.0
24,No,rarely,sales,3,2,other,128,1,Female,33,3,2,sales_executive,3.0,married,4999.0,0,No,21,4,1,1,4,2.0,2,3,2,0,2.0
36,No,non_travel,sales,4,3,medical,129,2,Male,43,3,2,sales_executive,3.0,married,4221.0,1,No,15,3,2,0,5,3.0,4,5,4,0,4.0
58,No,rarely,research_&_development,10,4,medical,131,4,Male,37,3,4,sales_executive,3.0,single,13872.0,0,No,13,3,3,0,38,1.0,2,37,10,1,8.0
44,No,non_travel,research_&_development,23,3,medical,132,2,Male,67,3,2,laboratory_technician,2.0,married,2042.0,4,No,12,3,3,1,17,3.0,4,3,2,1,2.0
37,Yes,rarely,human_resources,6,4,human_resources,133,3,Male,63,3,1,human_resources,1.0,Desconocido,2073.0,4,No,22,4,4,0,7,3.0,3,3,2,0,2.0
32,No,rarely,research_&_development,1,1,life_sciences,134,4,Male,71,3,1,research_scientist,1.0,single,2956.0,1,No,13,3,4,0,1,2.0,3,1,0,0,0.0
20,Yes,frequently,research_&_development,6,3,life_sciences,137,4,Female,66,2,1,laboratory_technician,4.0,single,2926.0,1,Yes,18,3,2,0,1,3.0,3,1,0,1,4.068783068783069
34,No,rarely,research_&_development,6,4,other,138,1,Female,41,3,2,research_scientist,3.0,single,4809.0,1,No,14,3,3,0,16,3.0,3,16,13,2,10.0
37,No,non_travel,research_&_development,2,2,life_sciences,139,3,Male,100,2,2,healthcare_representative,4.0,divorced,5163.0,5,No,14,3,4,1,17,2.0,4,1,0,0,4.068783068783069
59,No,non_travel,human_resources,2,4,human_resources,140,3,Female,32,2,5,manager,4.0,married,18844.0,9,No,21,4,4,1,30,3.0,3,3,2,2,2.0
50,No,frequently,research_&_development,1,3,life_sciences,141,1,Female,73,3,5,research_director,2.0,married,18172.0,3,Yes,19,3,1,0,28,1.0,2,8,3,0,7.0
25,Yes,rarely,sales,5,3,marketing,142,3,Male,46,2,2,sales_executive,3.0,single,5744.0,1,Yes,11,3,4,0,6,1.0,3,6,4,0,3.0
25,No,rarely,research_&_development,7,1,medical,143,4,Male,64,2,1,research_scientist,4.0,married,2889.0,1,No,11,3,3,2,2,2.0,3,2,2,2,1.0
22,No,rarely,research_&_development,15,3,medical,144,2,Female,59,3,1,laboratory_technician,4.0,single,2871.0,1,No,15,3,3,0,1,5.0,3,0,0,0,0.0
51,No,frequently,research_&_development,1,4,medical,145,1,Female,30,2,3,healthcare_representative,1.0,single,7484.0,3,No,20,4,3,0,23,3.0,2,13,12,12,8.0
36,Yes,frequently,research_&_development,7,3,life_sciences,147,1,Male,66,1,2,laboratory_technician,3.0,single,6074.0,1,Yes,24,4,4,0,9,3.0,3,9,7,0,6.0
54,No,rarely,human_resources,26,3,human_resources,148,4,Female,30,4,4,manager,4.0,single,17328.0,2,Yes,12,3,3,0,23,3.0,3,5,3,4,4.0
24,No,rarely,research_&_development,18,1,life_sciences,150,2,Male,52,3,1,laboratory_technician,3.0,married,2774.0,0,No,12,3,3,1,6,2.0,3,5,3,1,2.0
34,No,rarely,research_&_development,6,4,other,151,3,Female,45,2,2,research_scientist,2.0,divorced,4505.0,6,No,15,3,3,1,12,3.0,3,1,0,0,0.0
37,No,rarely,sales,3,3,life_sciences,152,3,Male,87,3,3,sales_executive,4.0,single,7428.0,2,No,12,3,1,0,12,3.0,3,5,3,1,3.0
34,No,rarely,research_&_development,5,3,medical,153,3,Female,45,2,3,manager,1.0,single,11631.0,2,No,12,3,4,0,14,6.0,3,11,10,5,8.0
36,No,frequently,sales,11,2,technical_degree,154,2,Female,92,3,3,sales_executive,4.0,married,9738.0,0,No,14,3,3,1,10,6.0,3,9,7,2,8.0
36,No,rarely,research_&_development,3,2,life_sciences,155,1,Female,39,3,1,laboratory_technician,4.0,divorced,2835.0,5,No,22,4,1,1,7,2.0,3,1,0,0,0.0
43,No,frequently,sales,26,2,life_sciences,158,3,Male,92,3,4,manager,4.0,Desconocido,16959.0,1,Yes,12,3,4,2,25,3.0,4,25,12,4,12.0
36,No,frequently,research_&_development,23,3,life_sciences,159,1,Male,96,1,1,research_scientist,3.0,divorced,2613.0,1,No,25,4,3,3,10,2.0,2,10,7,0,4.068783068783069
33,No,non_travel,sales,22,2,marketing,160,3,Male,95,3,2,sales_executive,2.0,married,6146.0,0,No,13,3,1,1,8,2.0,4,7,7,0,7.0
56,Yes,rarely,research_&_development,14,4,life_sciences,161,2,Female,72,3,1,research_scientist,2.0,married,4963.0,9,Yes,18,3,1,3,7,2.0,3,5,4,4,3.0
51,No,rarely,research_&_development,6,3,life_sciences,162,1,Male,51,3,5,research_director,3.0,single,19537.0,7,No,13,3,3,0,23,5.0,3,20,18,15,15.0
36,Yes,rarely,sales,6,4,life_sciences,163,2,Male,76,1,2,sales_executive,3.0,married,6172.0,4,Yes,18,3,2,0,12,3.0,2,7,7,7,7.0
26,No,rarely,research_&_development,6,3,other,164,3,Female,46,2,1,research_scientist,2.0,married,2368.0,1,No,19,3,3,0,5,3.0,2,5,4,4,3.0
58,Yes,rarely,research_&_development,23,4,medical,165,4,Female,94,3,3,healthcare_representative,4.0,married,4907.0,1,No,12,3,4,1,40,3.0,2,40,10,15,6.0
19,Yes,rarely,sales,22,1,marketing,167,4,Male,50,3,1,sales_representative,3.0,Desconocido,1675.0,1,Yes,19,3,4,0,0,2.0,2,0,0,0,0.0
22,No,rarely,research_&_development,2,1,technical_degree,169,3,Male,100,3,1,laboratory_technician,4.0,Desconocido,2523.0,0,No,14,3,3,1,3,2.0,3,2,1,2,1.0
49,No,rarely,research_&_development,20,4,medical,170,3,Female,96,3,2,manufacturing_director,1.0,married,6567.0,1,No,14,3,3,0,16,2.0,2,15,11,5,11.0
43,No,frequently,research_&_development,28,3,medical,171,2,Female,72,4,1,research_scientist,3.0,single,4739.0,4,No,12,3,4,0,18,2.0,3,3,2,1,2.0
36,No,frequently,sales,12,3,marketing,174,3,Female,77,3,3,sales_executive,4.0,single,9208.0,4,No,11,3,4,0,16,3.0,3,2,2,2,1.0
36,Yes,rarely,sales,20,3,life_sciences,175,2,Female,71,1,2,sales_executive,3.0,married,4559.0,3,Yes,11,3,3,1,4,2.0,3,2,2,2,2.0
41,No,rarely,sales,9,1,life_sciences,176,3,Male,96,3,3,sales_executive,3.0,Desconocido,8189.0,3,Yes,13,3,3,1,12,2.0,3,9,7,0,7.0
26,No,rarely,human_resources,25,1,life_sciences,177,3,Female,61,3,1,human_resources,3.0,married,2942.0,1,No,23,4,4,1,8,3.0,3,8,7,5,7.0
36,No,rarely,research_&_development,6,2,medical,178,2,Male,84,3,2,manufacturing_director,2.0,divorced,4941.0,6,No,20,4,4,2,7,0.0,3,3,2,0,1.0
51,Yes,frequently,research_&_development,8,4,life_sciences,179,1,Male,53,1,3,manufacturing_director,4.0,Desconocido,10650.0,2,No,15,3,4,0,18,2.0,3,4,2,0,3.0
39,No,rarely,sales,4,4,life_sciences,182,4,Female,47,2,2,sales_executive,3.0,married,5902.0,4,No,14,3,3,1,17,1.0,4,15,11,5,9.0
25,No,rarely,sales,28,3,life_sciences,183,1,Male,41,2,2,sales_executive,3.0,married,8639.0,2,No,18,3,4,0,6,3.0,3,2,2,2,2.0
30,No,rarely,human_resources,9,3,human_resources,184,3,Male,48,3,2,human_resources,4.0,married,6347.0,0,Yes,19,3,4,0,12,2.0,1,11,9,4,4.068783068783069
32,Yes,rarely,research_&_development,9,3,medical,190,1,Female,41,3,1,laboratory_technician,1.0,single,4200.0,7,No,22,4,1,0,10,2.0,4,5,4,0,4.0
45,No,rarely,research_&_development,29,3,medical,192,3,Male,83,3,1,research_scientist,4.0,single,3452.0,5,No,13,3,2,0,9,2.0,2,6,5,0,3.0
38,No,rarely,research_&_development,3,5,technical_degree,193,4,Female,32,3,2,research_scientist,3.0,single,4317.0,3,Yes,20,4,2,0,19,2.0,3,3,2,2,2.0
30,No,rarely,research_&_development,18,3,life_sciences,194,1,Female,75,3,1,research_scientist,3.0,single,2632.0,1,No,14,3,3,0,5,4.0,2,5,4,0,4.0
32,No,frequently,sales,9,2,medical,195,4,Male,35,1,2,sales_executive,4.0,divorced,4668.0,0,No,17,3,4,3,9,2.0,4,8,7,0,7.0
30,No,rarely,research_&_development,5,3,technical_degree,197,4,Female,84,3,1,research_scientist,1.0,divorced,3204.0,5,No,14,3,4,1,8,3.0,3,3,2,2,2.0
30,No,rarely,research_&_development,2,1,medical,198,2,Male,35,2,1,laboratory_technician,4.0,single,2720.0,0,No,13,3,4,0,6,3.0,3,5,3,1,2.0
41,No,frequently,research_&_development,10,3,life_sciences,199,4,Male,91,2,4,manager,1.0,divorced,17181.0,4,No,13,3,2,1,21,2.0,2,7,6,7,7.0
41,No,rarely,research_&_development,9,4,life_sciences,200,3,Male,94,3,1,laboratory_technician,1.0,married,2238.0,2,No,21,4,4,1,7,2.0,3,5,0,1,4.068783068783069
19,No,rarely,research_&_development,3,1,medical,201,2,Female,79,3,1,laboratory_technician,2.0,single,1483.0,1,No,14,3,4,0,1,3.0,3,1,0,0,4.068783068783069
40,No,frequently,research_&_development,26,3,medical,202,2,Female,54,3,2,research_scientist,2.0,divorced,5605.0,1,No,11,3,1,1,20,2.0,3,20,7,2,13.0
35,No,rarely,sales,1,5,marketing,204,3,Male,94,3,3,sales_executive,2.0,married,7295.0,1,No,13,3,1,2,10,3.0,3,10,8,0,6.0
53,No,rarely,sales,6,2,other,205,2,Male,34,3,2,sales_representative,3.0,married,2306.0,2,Yes,20,4,4,1,13,3.0,1,7,7,4,5.0
45,No,rarely,research_&_development,9,3,life_sciences,206,2,Male,60,3,2,laboratory_technician,2.0,divorced,2348.0,8,No,18,3,3,1,20,2.0,1,17,9,0,15.0
32,No,frequently,sales,8,3,marketing,207,2,Female,43,3,3,sales_executive,4.0,single,8998.0,1,No,14,3,4,0,9,2.0,3,9,8,3,7.0
29,No,non_travel,research_&_development,1,1,technical_degree,208,4,Male,41,3,2,manufacturing_director,3.0,married,4319.0,1,No,13,3,1,1,10,1.0,3,10,7,0,9.0
51,No,rarely,research_&_development,7,4,medical,211,2,Male,34,2,2,manufacturing_director,3.0,married,6132.0,2,No,17,3,3,0,10,2.0,3,1,0,0,4.068783068783069
58,No,rarely,research_&_development,9,3,medical,214,2,Female,75,2,1,research_scientist,2.0,married,3346.0,4,Yes,20,4,2,1,9,3.0,2,1,0,0,4.068783068783069
40,No,rarely,sales,4,4,marketing,215,3,Male,67,2,3,sales_executive,4.0,married,10855.0,7,No,11,3,1,1,15,2.0,2,12,11,2,11.0
34,No,frequently,sales,2,4,other,216,3,Female,75,3,1,sales_representative,3.0,married,2231.0,6,No,18,3,4,1,6,3.0,3,4,3,1,2.0
22,No,rarely,research_&_development,19,1,medical,217,3,Male,80,3,1,research_scientist,4.0,married,2323.0,1,No,24,4,1,2,2,6.0,3,2,2,2,2.0
